Geneid	SRR1552454	SRR1552452	SRR1552450	SRR1552448	SRR1552446	SRR1552444
100008567	0	0	0	0	0	0
100009600	0	0	0	0	0	0
100009609	0	0	0	0	0	0
100009614	0	0	0	0	0	0
100009664	0	0	0	0	0	0
100012	0	0	0	0	0	0
100017	1	0	1	0	3	1
100019	3	1	11	0	1	5
100033459	0	0	0	0	0	0
100034251	0	0	0	1	0	0
100034361	0	0	0	0	0	0
100034363	0	0	0	0	0	0
100034684	0	0	0	0	0	0
100034726	0	0	1	1	0	2
100034729	0	0	0	0	0	0
100034739	0	0	0	0	0	0
100034748	0	0	0	0	0	0
100036518	0	0	0	0	0	0
100036520	0	0	0	0	0	0
100036521	0	0	0	0	1	2
100036523	0	1	0	0	0	0
100036537	0	0	0	0	0	0
100036568	0	0	0	0	0	0
100036571	0	0	0	0	0	0
100036572	0	0	0	0	0	0
100036768	0	0	0	0	0	0
100037258	5	1	5	10	5	8
100037260	0	1	0	0	0	0
100037262	0	0	0	0	0	0
100037278	1	0	0	0	0	0
100037282	1	0	0	0	0	0
100037283	0	0	0	0	0	1
100037396	0	0	0	0	0	0
100038347	0	0	0	0	1	0
100038349	0	0	0	0	0	0
100038353	0	0	0	0	0	0
100038356	0	0	0	0	0	0
100038357	0	0	0	0	0	0
100038358	0	0	0	0	0	0
100038359	0	0	0	0	0	0
100038361	0	0	0	0	0	0
100038363	0	0	0	0	0	0
100038371	0	0	0	0	0	0
100038374	0	0	0	0	0	0
100038376	0	0	0	0	0	0
100038378	0	0	0	0	0	0
100038380	0	0	0	0	0	0
100038381	0	0	0	0	0	0
100038382	0	0	0	0	0	0
100038383	0	0	0	0	0	0
100038384	0	0	0	0	0	0
100038388	0	0	0	0	0	0
100038391	0	0	0	0	0	0
100038392	0	0	0	1	0	0
100038394	0	0	0	0	0	0
100038395	0	0	0	0	0	0
100038398	0	0	0	0	0	0
100038399	0	0	0	0	0	0
100038410	0	0	0	0	0	0
100038411	0	0	0	0	0	0
100038412	0	0	0	0	0	0
100038413	0	0	0	0	0	0
100038414	0	0	0	0	0	0
100038416	0	0	0	0	0	0
100038417	0	0	0	0	0	0
100038419	0	0	0	0	0	0
100038420	0	0	0	0	0	0
100038421	0	0	0	0	0	0
100038424	0	0	0	0	0	0
100038425	0	0	0	0	0	0
100038429	0	0	0	0	0	0
100038431	0	0	0	0	0	0
100038433	0	0	0	0	0	0
100038436	0	0	0	0	0	0
100038439	0	0	0	0	0	0
100038440	0	0	0	0	0	0
100038452	0	0	0	0	0	0
100038453	0	0	0	0	0	0
100038454	0	0	0	0	0	0
100038460	0	0	0	0	0	0
100038464	0	0	0	1	0	1
100038467	0	0	0	0	0	0
100038468	0	0	0	0	0	0
100038470	0	0	0	0	0	0
100038478	0	0	0	0	0	0
100038479	0	0	0	0	0	0
100038481	0	0	0	0	0	0
100038486	0	0	0	0	0	0
100038487	0	0	0	0	0	0
100038489	0	0	0	0	0	0
100038493	0	0	0	0	0	0
100038494	0	0	0	0	0	0
100038496	0	0	0	0	0	0
100038498	0	0	0	0	0	0
100038504	0	0	0	0	0	0
100038506	0	0	0	0	0	0
100038508	0	0	0	0	0	0
100038509	0	0	0	0	0	0
100038513	0	0	0	0	0	0
100038514	0	0	0	0	0	0
100038516	0	0	0	0	0	0
100038522	0	0	0	0	0	0
100038525	0	0	0	0	0	0
100038526	0	0	0	0	0	0
100038528	0	0	0	0	0	1
100038529	0	0	0	0	0	0
100038532	0	0	0	0	0	0
100038537	0	0	0	0	0	0
100038538	0	0	0	0	0	0
100038541	0	0	0	0	0	0
100038545	0	0	0	0	0	0
100038546	0	0	0	0	0	0
100038547	0	0	0	0	0	0
100038548	0	0	0	0	0	0
100038551	0	0	0	0	0	0
100038554	0	0	0	0	0	0
100038555	0	0	0	0	0	0
100038556	0	0	0	0	0	0
100038558	0	1	0	0	0	0
